id,curriculo_id,registro_academico,nome,nome_normalizado,forma_ingresso_id,forma_evasao_id,data_matricula,data_conclusao,data_colacao,ira,created_at,updated_at
1,3,GRR11640385,Everton De Siqueira,EVERTONDESIQUEIRA,12,9,2016-01-08,2020-09-26,2021-04-09,0.748,2024-11-12 20:04:40.853111,2024-11-12 20:04:40.853122
2,4,GRR88051397,Roseane Mendonca,ROSEANEMENDONCA,12,15,2019-01-17,,,0.1199,2024-11-12 20:04:44.829030,2024-11-12 20:04:44.829038
3,3,GRR51747106,Jonathan Barreto,JONATHANBARRETO,12,9,2015-01-09,2021-12-18,2022-03-25,0.727,2024-11-12 20:04:40.864409,2024-11-12 20:04:40.864416
4,4,GRR47722369,Jackson Neres,JACKSONNERES,12,15,2022-04-01,,,0.7007,2024-11-12 20:04:44.834007,2024-11-12 20:04:44.834014
5,4,GRR16823654,Elizete Lourenço,ELIZETELOURENCO,10,15,2022-03-28,,,0.3356,2024-11-12 20:04:44.839983,2024-11-12 20:04:44.839992
6,4,GRR43165306,Margarida Nonato,MARGARIDANONATO,9,15,2016-01-01,,,0.5721,2024-11-12 20:04:40.880592,2024-11-12 20:04:40.880601
7,4,GRR65708221,Eder De Fatima,EDERDEFATIMA,12,15,2017-01-12,,,0.7901,2024-11-12 20:04:40.890688,2024-11-12 20:04:40.890698
8,4,GRR77151083,Augusto Muller,AUGUSTOMULLER,12,15,2018-01-12,,,0.5567,2024-11-12 20:04:44.851048,2024-11-12 20:04:44.851056
9,4,GRR26186806,Virginia Paiva,VIRGINIAPAIVA,12,15,2019-02-26,,,0.7184,2024-11-12 20:04:44.856163,2024-11-12 20:04:44.856170
10,5,GRR77485549,Jucelia Aguiar,JUCELIAAGUIAR,12,15,2023-03-06,,,0.836,2024-11-12 20:04:44.860996,2024-11-12 20:04:44.861004
11,4,GRR64281891,Adelson Paes,ADELSONPAES,10,15,2020-02-14,,,0.8621,2024-11-12 20:04:44.866858,2024-11-12 20:04:44.866867
12,3,GRR85169108,Camila Barreto,CAMILABARRETO,12,9,2016-01-29,2022-05-07,2022-07-18,0.6464,2024-11-12 20:04:40.918788,2024-11-12 20:04:40.918797
13,4,GRR61033200,Rosimeire Souto,ROSIMEIRESOUTO,12,15,2020-01-25,,,0.3219,2024-11-12 20:04:40.924487,2024-11-12 20:04:40.924495
14,3,GRR92619525,Nilda De Albuquerque,NILDADEALBUQUERQUE,12,9,2015-02-04,2021-12-18,2022-03-25,0.6222,2024-11-12 20:04:40.929693,2024-11-12 20:04:40.929701
15,4,GRR87370032,Alcione Xavier,ALCIONEXAVIER,12,15,2021-09-20,,,0.0,2024-11-12 20:04:40.934585,2024-11-12 20:04:40.934592
16,4,GRR81379729,Richard Moreira,RICHARDMOREIRA,10,1,2017-02-03,,,0.5475,2024-11-12 20:04:40.939954,2024-11-12 20:04:40.939963
17,4,GRR49393553,Felipe Tavares,FELIPETAVARES,12,1,2018-03-01,,,0.4042,2024-11-12 20:04:40.945232,2024-11-12 20:04:40.945240
18,4,GRR89146125,Darci Siqueira,DARCISIQUEIRA,12,15,2019-01-17,,,0.8745,2024-11-12 20:04:44.872103,2024-11-12 20:04:44.872111
19,4,GRR82212627,Adriel Vicente,ADRIELVICENTE,12,15,2020-01-25,,,0.8086,2024-11-12 20:04:44.877589,2024-11-12 20:04:44.877596
20,3,GRR47145306,Neiva Leite,NEIVALEITE,12,9,2015-03-03,2020-09-26,2021-04-09,0.5703,2024-11-12 20:04:40.961249,2024-11-12 20:04:40.961257
21,5,GRR78664217,Mauricio De Sena,MAURICIODESENA,12,15,2023-03-03,,,0.6656,2024-11-12 20:04:44.882419,2024-11-12 20:04:44.882426
22,4,GRR55578862,Adenilson Santos,ADENILSONSANTOS,12,15,2022-04-01,,,0.4664,2024-11-12 20:04:44.887492,2024-11-12 20:04:44.887499
23,4,GRR72497165,Ione Farias,IONEFARIAS,10,1,2016-02-12,,,0.482,2024-11-12 20:04:40.976771,2024-11-12 20:04:40.976779
24,4,GRR98850878,Hudson De Paula,HUDSONDEPAULA,12,15,2019-01-17,,,0.8373,2024-11-12 20:04:44.892877,2024-11-12 20:04:44.892884
25,4,GRR52846113,Emilly Perreira,EMILLYPERREIRA,12,15,2020-01-25,,,0.7925,2024-11-12 20:04:44.898210,2024-11-12 20:04:44.898218
26,3,GRR43532574,Jesse Peixoto,JESSEPEIXOTO,12,1,2013-02-01,,,0.4029,2024-11-12 20:04:40.993459,2024-11-12 20:04:40.993467
27,3,GRR03207158,Giovana Brasil,GIOVANABRASIL,12,15,2017-01-12,,,0.617,2024-11-12 20:04:44.908866,2024-11-12 20:04:44.908875
28,3,GRR90211482,Natalia Carvalho,NATALIACARVALHO,12,15,2012-01-16,,,0.0528,2024-11-12 20:04:44.914144,2024-11-12 20:04:44.914152
29,3,GRR50846465,Odete Couto,ODETECOUTO,12,1,2017-01-12,,,0.25,2024-11-12 20:04:41.008370,2024-11-12 20:04:41.008379
30,4,GRR08962697,Kaue Esteves,KAUEESTEVES,10,15,2019-02-15,,,0.7222,2024-11-12 20:04:44.919146,2024-11-12 20:04:44.919153
31,4,GRR76071611,Cristina Bernardes,CRISTINABERNARDES,12,15,2020-01-25,,,0.7151,2024-11-12 20:04:44.924161,2024-11-12 20:04:44.924168
